[2026/09/25 22:48:38:6574] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 22:48:38:6576] N: tty configuration:
[2026/09/25 22:48:38:6576] N:   start command: /tmp/tcc-muhyyffw/attach.sh
[2026/09/25 22:48:38:6576] N:   close signal: SIGHUP (1)
[2026/09/25 22:48:38:6577] N:   terminal type: xterm-256color
[2026/09/25 22:48:38:6577] N:   allow url arg: true
[2026/09/25 22:48:38:6577] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 22:48:44:9568] N: killing process, pid: 35802
[2026/09/25 22:48:44:9571] N: process killed with signal 1, pid: 35802
[2026/09/25 22:48:45:0439] N: WS closed from (unix skt), clients: 8
[2026/09/25 22:48:45:0439] N: killing process, pid: 35825
[2026/09/25 22:48:45:0441] N: process killed with signal 1, pid: 35825
[2026/09/25 22:48:45:1769] N: WS closed from (unix skt), clients: 7
[2026/09/25 22:48:45:1770] N: killing process, pid: 35800
[2026/09/25 22:48:45:1773] N: process killed with signal 0, pid: 35800
[2026/09/25 22:48:45:2208] N: WS closed from (unix skt), clients: 6
[2026/09/25 22:48:45:2208] N: killing process, pid: 35799
[2026/09/25 22:48:45:2213] N: process killed with signal 0, pid: 35799
[2026/09/25 22:48:45:2460] N: WS closed from (unix skt), clients: 5
[2026/09/25 22:48:45:2460] N: killing process, pid: 35811
[2026/09/25 22:48:45:2461] N: WS closed from (unix skt), clients: 4
[2026/09/25 22:48:45:2461] N: killing process, pid: 35804
[2026/09/25 22:48:45:2465] N: process killed with signal 0, pid: 35804
[2026/09/25 22:48:45:2465] N: process killed with signal 0, pid: 35811
[2026/09/25 22:48:45:6217] N: WS closed from (unix skt), clients: 3
[2026/09/25 22:48:45:6217] N: killing process, pid: 35801
[2026/09/25 22:48:45:6221] N: process killed with signal 0, pid: 35801
[2026/09/25 22:48:45:7521] N: WS closed from (unix skt), clients: 2
[2026/09/25 22:48:45:7522] N: killing process, pid: 35823
[2026/09/25 22:48:45:7537] N: process killed with signal 0, pid: 35823
[2026/09/25 22:48:46:8653] N: WS closed from (unix skt), clients: 1
[2026/09/25 22:48:46:8653] N: killing process, pid: 35803
[2026/09/25 22:48:46:8654] N: WS closed from (unix skt), clients: 0
[2026/09/25 22:48:46:8654] N: killing process, pid: 35826
[2026/09/25 22:48:46:8661] N: process killed with signal 0, pid: 35803
[2026/09/25 22:48:46:8661] N: process killed with signal 0, pid: 35826
[2026/09/25 22:48:46:8725] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 22:48:46:8725] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 22:48:46:8725] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 22:48:46:8726] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 22:48:46:8726] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 22:48:46:8726] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 22:48:46:8726] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 22:48:46:8726] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 22:48:46:8726] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 22:48:46:8726] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 22:48:46:8734] N: started process, pid: 36231
[2026/09/25 22:48:46:8740] N: started process, pid: 36232
[2026/09/25 22:48:46:8747] N: started process, pid: 36233
[2026/09/25 22:48:46:8757] N: started process, pid: 36234
[2026/09/25 22:48:46:8765] N: started process, pid: 36237
[2026/09/25 22:48:46:8776] N: started process, pid: 36238
[2026/09/25 22:48:46:8794] N: started process, pid: 36246
[2026/09/25 22:48:46:8809] N: started process, pid: 36252
[2026/09/25 22:48:46:8822] N: started process, pid: 36253
[2026/09/25 22:48:46:8839] N: started process, pid: 36256
[2026/09/25 22:48:46:9696] N: WS closed from (unix skt), clients: 9
[2026/09/25 22:48:46:9696] N: killing process, pid: 36233
[2026/09/25 22:48:46:9699] N: process killed with signal 1, pid: 36233
[2026/09/25 22:48:47:0443] N: WS closed from (unix skt), clients: 8
[2026/09/25 22:48:47:0444] N: killing process, pid: 36253
[2026/09/25 22:48:47:0447] N: process killed with signal 1, pid: 36253
[2026/09/25 22:48:47:1823] N: WS closed from (unix skt), clients: 7
[2026/09/25 22:48:47:1823] N: killing process, pid: 36231
[2026/09/25 22:48:47:1827] N: process killed with signal 0, pid: 36231
