[2026/09/25 17:50:01:6898] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 17:50:01:6901] N: tty configuration:
[2026/09/25 17:50:01:6901] N:   start command: /tmp/tcc-muhoaejx/attach.sh
[2026/09/25 17:50:01:6901] N:   close signal: SIGHUP (1)
[2026/09/25 17:50:01:6901] N:   terminal type: xterm-256color
[2026/09/25 17:50:01:6901] N:   allow url arg: true
[2026/09/25 17:50:01:6901] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 17:50:05:9414] N: WS closed from (unix skt), clients: 8
[2026/09/25 17:50:05:9414] N: killing process, pid: 87694
[2026/09/25 17:50:05:9416] N: process killed with signal 1, pid: 87694
[2026/09/25 17:50:06:0693] N: WS closed from (unix skt), clients: 7
[2026/09/25 17:50:06:0693] N: killing process, pid: 87674
[2026/09/25 17:50:06:0697] N: process killed with signal 0, pid: 87674
[2026/09/25 17:50:06:0807] N: WS closed from (unix skt), clients: 6
[2026/09/25 17:50:06:0808] N: killing process, pid: 87675
[2026/09/25 17:50:06:0811] N: process killed with signal 0, pid: 87675
[2026/09/25 17:50:06:1188] N: WS closed from (unix skt), clients: 5
[2026/09/25 17:50:06:1189] N: killing process, pid: 87680
[2026/09/25 17:50:06:1192] N: process killed with signal 0, pid: 87680
[2026/09/25 17:50:06:1310] N: WS closed from (unix skt), clients: 4
[2026/09/25 17:50:06:1310] N: killing process, pid: 87679
[2026/09/25 17:50:06:1315] N: process killed with signal 0, pid: 87679
[2026/09/25 17:50:06:5561] N: WS closed from (unix skt), clients: 3
[2026/09/25 17:50:06:5561] N: killing process, pid: 87676
[2026/09/25 17:50:06:5568] N: process killed with signal 0, pid: 87676
[2026/09/25 17:50:06:6445] N: WS closed from (unix skt), clients: 2
[2026/09/25 17:50:06:6446] N: killing process, pid: 87685
[2026/09/25 17:50:06:6456] N: process killed with signal 0, pid: 87685
[2026/09/25 17:50:07:7635] N: WS closed from (unix skt), clients: 1
[2026/09/25 17:50:07:7636] N: killing process, pid: 87678
[2026/09/25 17:50:07:7636] N: WS closed from (unix skt), clients: 0
[2026/09/25 17:50:07:7636] N: killing process, pid: 87699
[2026/09/25 17:50:07:7652] N: process killed with signal 0, pid: 87678
[2026/09/25 17:50:07:7653] N: process killed with signal 0, pid: 87699
[2026/09/25 17:50:07:7779] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 17:50:07:7780] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 17:50:07:7781] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 17:50:07:7781] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 17:50:07:7781] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 17:50:07:7781] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 17:50:07:7781] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 17:50:07:7781] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 17:50:07:7781] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 17:50:07:7782] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 17:50:07:7791] N: started process, pid: 88083
[2026/09/25 17:50:07:7797] N: started process, pid: 88084
[2026/09/25 17:50:07:7803] N: started process, pid: 88085
[2026/09/25 17:50:07:7812] N: started process, pid: 88086
[2026/09/25 17:50:07:7821] N: started process, pid: 88087
[2026/09/25 17:50:07:7829] N: started process, pid: 88088
[2026/09/25 17:50:07:7846] N: started process, pid: 88089
[2026/09/25 17:50:07:7860] N: started process, pid: 88092
[2026/09/25 17:50:07:7872] N: started process, pid: 88102
[2026/09/25 17:50:07:7889] N: started process, pid: 88105
[2026/09/25 17:50:07:8882] N: WS closed from (unix skt), clients: 9
[2026/09/25 17:50:07:8882] N: killing process, pid: 88086
[2026/09/25 17:50:07:8885] N: process killed with signal 1, pid: 88086
[2026/09/25 17:50:07:9417] N: WS closed from (unix skt), clients: 8
[2026/09/25 17:50:07:9417] N: killing process, pid: 88102
[2026/09/25 17:50:07:9419] N: process killed with signal 1, pid: 88102
[2026/09/25 17:50:08:0510] N: WS closed from (unix skt), clients: 7
[2026/09/25 17:50:08:0510] N: killing process, pid: 88083
[2026/09/25 17:50:08:0511] N: WS closed from (unix skt), clients: 6
[2026/09/25 17:50:08:0511] N: killing process, pid: 88084
[2026/09/25 17:50:08:0514] N: process killed with signal 0, pid: 88083
[2026/09/25 17:50:08:0515] N: process killed with signal 0, pid: 88084
[2026/09/25 17:50:08:1285] N: WS closed from (unix skt), clients: 5
[2026/09/25 17:50:08:1285] N: killing process, pid: 88089
[2026/09/25 17:50:08:1289] N: process killed with signal 0, pid: 88089
[2026/09/25 17:50:08:1436] N: WS closed from (unix skt), clients: 4
[2026/09/25 17:50:08:1436] N: killing process, pid: 88088
[2026/09/25 17:50:08:1439] N: process killed with signal 0, pid: 88088
[2026/09/25 17:50:08:6034] N: WS closed from (unix skt), clients: 3
[2026/09/25 17:50:08:6034] N: killing process, pid: 88085
[2026/09/25 17:50:08:6038] N: process killed with signal 0, pid: 88085
[2026/09/25 17:50:08:6627] N: WS closed from (unix skt), clients: 2
[2026/09/25 17:50:08:6627] N: killing process, pid: 88092
[2026/09/25 17:50:08:6631] N: process killed with signal 0, pid: 88092
[2026/09/25 17:50:09:7792] N: WS closed from (unix skt), clients: 1
[2026/09/25 17:50:09:7793] N: killing process, pid: 88087
[2026/09/25 17:50:09:7793] N: WS closed from (unix skt), clients: 0
[2026/09/25 17:50:09:7794] N: killing process, pid: 88105
[2026/09/25 17:50:09:7810] N: process killed with signal 0, pid: 88087
[2026/09/25 17:50:09:7829] N: process killed with signal 0, pid: 88105
[2026/09/25 17:50:09:8049] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 17:50:09:8050] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 17:50:09:8050] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 17:50:09:8050] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 17:50:09:8050] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 17:50:09:8050] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 17:50:09:8051] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 17:50:09:8051] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 17:50:09:8051] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 17:50:09:8051] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 17:50:09:8080] N: started process, pid: 88456
[2026/09/25 17:50:09:8090] N: started process, pid: 88457
[2026/09/25 17:50:09:8099] N: started process, pid: 88458
[2026/09/25 17:50:09:8107] N: started process, pid: 88459
[2026/09/25 17:50:09:8119] N: started process, pid: 88460
[2026/09/25 17:50:09:8133] N: started process, pid: 88461
[2026/09/25 17:50:09:8145] N: started process, pid: 88462
[2026/09/25 17:50:09:8162] N: started process, pid: 88464
[2026/09/25 17:50:09:8180] N: started process, pid: 88472
[2026/09/25 17:50:09:8190] N: started process, pid: 88480
[2026/09/25 17:50:09:9240] N: WS closed from (unix skt), clients: 9
[2026/09/25 17:50:09:9241] N: killing process, pid: 88459
[2026/09/25 17:50:09:9247] N: process killed with signal 1, pid: 88459
[2026/09/25 17:50:09:9882] N: WS closed from (unix skt), clients: 8
[2026/09/25 17:50:09:9882] N: killing process, pid: 88472
[2026/09/25 17:50:09:9885] N: process killed with signal 1, pid: 88472
[2026/09/25 17:50:10:1125] N: WS closed from (unix skt), clients: 7
[2026/09/25 17:50:10:1126] N: killing process, pid: 88456
[2026/09/25 17:50:10:1166] N: process killed with signal 0, pid: 88456
[2026/09/25 17:50:10:1261] N: WS closed from (unix skt), clients: 6
[2026/09/25 17:50:10:1261] N: killing process, pid: 88457
[2026/09/25 17:50:10:1265] N: process killed with signal 0, pid: 88457
[2026/09/25 17:50:10:1635] N: WS closed from (unix skt), clients: 5
[2026/09/25 17:50:10:1636] N: killing process, pid: 88462
[2026/09/25 17:50:10:1640] N: process killed with signal 0, pid: 88462
[2026/09/25 17:50:10:1757] N: WS closed from (unix skt), clients: 4
[2026/09/25 17:50:10:1757] N: killing process, pid: 88461
[2026/09/25 17:50:10:1760] N: process killed with signal 0, pid: 88461
[2026/09/25 17:50:10:6380] N: WS closed from (unix skt), clients: 3
[2026/09/25 17:50:10:6380] N: killing process, pid: 88458
[2026/09/25 17:50:10:6384] N: process killed with signal 0, pid: 88458
[2026/09/25 17:50:10:6892] N: WS closed from (unix skt), clients: 2
[2026/09/25 17:50:10:6892] N: killing process, pid: 88464
[2026/09/25 17:50:10:6905] N: process killed with signal 0, pid: 88464
[2026/09/25 17:50:11:8077] N: WS closed from (unix skt), clients: 1
[2026/09/25 17:50:11:8149] N: killing process, pid: 88460
[2026/09/25 17:50:11:8150] N: WS closed from (unix skt), clients: 0
[2026/09/25 17:50:11:8150] N: killing process, pid: 88480
[2026/09/25 17:50:11:8153] N: process killed with signal 0, pid: 88460
[2026/09/25 17:50:11:8157] N: process killed with signal 0, pid: 88480
[2026/09/25 17:50:11:8294] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 17:50:11:8295] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 17:50:11:8295] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 17:50:11:8295] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 17:50:11:8295] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 17:50:11:8295] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 17:50:11:8295] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 17:50:11:8295] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 17:50:11:8295] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 17:50:11:8296] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 17:50:11:8302] N: started process, pid: 88868
[2026/09/25 17:50:11:8307] N: started process, pid: 88869
[2026/09/25 17:50:11:8313] N: started process, pid: 88870
[2026/09/25 17:50:11:8326] N: started process, pid: 88871
[2026/09/25 17:50:11:8334] N: started process, pid: 88872
[2026/09/25 17:50:11:8354] N: started process, pid: 88873
[2026/09/25 17:50:11:8367] N: started process, pid: 88883
[2026/09/25 17:50:11:8373] N: started process, pid: 88886
[2026/09/25 17:50:11:8387] N: started process, pid: 88889
[2026/09/25 17:50:11:8396] N: started process, pid: 88890
[2026/09/25 17:50:11:9948] N: WS closed from (unix skt), clients: 9
[2026/09/25 17:50:11:9948] N: killing process, pid: 88872
[2026/09/25 17:50:11:9951] N: process killed with signal 1, pid: 88872
[2026/09/25 17:50:12:0219] N: WS closed from (unix skt), clients: 8
[2026/09/25 17:50:12:0219] N: killing process, pid: 88890
[2026/09/25 17:50:12:0226] N: process killed with signal 1, pid: 88890
[2026/09/25 17:50:12:1966] N: WS closed from (unix skt), clients: 7
[2026/09/25 17:50:12:1966] N: killing process, pid: 88870
[2026/09/25 17:50:12:1971] N: process killed with signal 0, pid: 88870
[2026/09/25 17:50:12:2097] N: WS closed from (unix skt), clients: 6
[2026/09/25 17:50:12:2097] N: killing process, pid: 88886
[2026/09/25 17:50:12:2097] N: WS closed from (unix skt), clients: 5
[2026/09/25 17:50:12:2097] N: killing process, pid: 88868
[2026/09/25 17:50:12:2098] N: WS closed from (unix skt), clients: 4
[2026/09/25 17:50:12:2098] N: killing process, pid: 88883
[2026/09/25 17:50:12:2101] N: process killed with signal 0, pid: 88886
